month,day,hour,City,Shape,State,Country,Summary,lat,lng
11.0,19.0,22.0,Apollo Beach,Light,FL,USA,Reddish-orange round ball of light flying over Apollo Beach.,27.7729445,-82.3981418
11.0,19.0,21.0,Salt Lake City,Circle,UT,USA,Multiple objects headed south to north.,40.7670126,-111.8904307
11.0,19.0,21.0,Myrtle Beach,Circle,SC,USA,"Two lights zigging and zagging dropped into view for 15 seconds then flew 
up and disappeared.",33.6956461,-78.8900408
11.0,19.0,20.0,Oregon City,Light,OR,USA,What we witnessed has changed our entire way of thinking!,45.3573429,-122.6067582
11.0,19.0,20.0,San Marcos,Circle,CA,USA,Group of 10-15 small circular lights in San Marcos.,33.1433723,-117.1661448
11.0,19.0,19.0,Jefferson City,Chevron,MO,USA,"Either several aircraft at higher altitude, or one craft at lower 
(2,000ft?) flew East x Southeast overhead in rigid formation.",38.577359,-92.1724264
11.0,19.0,19.0,Victoria,Oval,BC,CANADA,Orange/red sun like oval very bight below the clouds.,48.4283327,-123.3649268
11.0,19.0,19.0,Boynton Beach,Circle,FL,USA,A bright red orange circle in the sky.,26.5253491,-80.0664308
11.0,19.0,18.0,Brandon,Triangle,FL,USA,"Brandon, Florida, Nov. 19, 2016 standing outside to see the space shuttle 
take off it was approximately 6:30 pm and towards the north",27.928464,-82.2880445
11.0,19.0,18.0,Zephyrhills,Fireball,FL,USA,Fireball launched into sky. ((anonymous report)),28.2336196,-82.1811946
11.0,19.0,18.0,Bristol,Light,CT,USA,"They were red lights in formation all traveling at the same speed.

At first I thought they we're an airplane but there was too man",37.9317492,-122.0327847
11.0,19.0,18.0,Woodbridge,Formation,VA,USA,"We were outside having a cigarette and I believe I was the first to point 
it out. In the sky it was pretty cloudy out and raining there",38.658172,-77.2497049
11.0,19.0,18.0,Fishers,Light,IN,USA,"Group of strange light orbs over eastern Fishers, IN, for hours with no 
particular pattern.",39.9555928,-86.0138728
11.0,19.0,17.0,Louisville,Other,KY,USA,"Strange straight white light with V shape turned onit's side tail with a 
red light seen in the same spot not moving for about a hour .",38.2542376,-85.7594069
11.0,19.0,17.0,Woodbridge,Circle,VA,USA,"4 lights hit each other zoom out and repeating sequence of movement. 
((NUFORC Note: Advertising lights. PD))",38.658172,-77.2497049
11.0,19.0,16.0,Blaine,Rectangle,MN,USA,"I was driving north on 35w and somewhere around Blaine Mn I noticed 2 odd 
black rectangle shapes flying in the sky maybe 500 to 1000 fe",45.1607987,-93.2349488
11.0,19.0,16.0,Ferrisburgh,Light,VT,USA,Light in the sky.,44.205835,-73.2465359
11.0,19.0,15.0,Springfield,Circle,MA,USA,"Saw a bunch of sparkling silver colored crafts, one larger craft above 
them,no noise not sure of shape, white military jet with no wing",42.1014831,-72.5898109
